Diagnosis,Section,Section_Hint,Esophagus,GE Junction,Stomach,Duodenum,,,,,Default_Sub_Location,Subsection,Subsection_Hint,Conditional_on,Multi_Attribute,Default_Attr,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
Esophageal Ulcer,Base Characteristics,,x,x,,,,,,,,,,,x,,Clean,Fibrin-coated / whitish slough,Hematin-stained,Necrotic / blackish,Granular or nodular,Active bleeding (oozing / spurting),Adherent clot,,,,,
Esophageal Ulcer,Mucosa Around Ulcer,,x,x,,,,,,,,,,,x,,Normal,Erythematous / inflamed,Friable / bleeding on contact,Edematous / congested,Stenosed / fibrotic (chronic ulcer),Surrounding pseudomembrane (infectious),Barrett’s mucosa adjacent,,,,,
Esophageal Ulcer,Scope Traversability,,x,x,,,,,,,,,,,,,Easy,Mild resistance,Significant resistance (due to edema / stricture),Not traversable,,,,,,,,
Esophageal Ulcer,Associated Findings,,x,x,,,,,,,,,,,x,,Stasis fluid / debris,Stricture proximal to ulcer,Hiatal hernia,Esophagitis,Barrett’s mucosa,Varices,Adjacent diverticulum or pouch,Fistulous opening / tract,,,,
Esophageal Ulcer,Likely Etiology,Endoscopic Impression Level,x,x,,,,,,,,,,,,,"Reflux-related (distal, with esophagitis)","Drug-induced (mid esophagus, central ulcer with normal surroundings)",Infectious,"Corrosive / caustic (deep, circumferential, necrotic)","Radiation-induced (chronic, fibrotic edges)","Malignant (irregular, raised margins, friable)",Post-sclerotherapy / EVL,Post-surgical / anastomotic,Idiopathic / nonspecific,,,
Esophageal Ulcer,Likely Etiology,,x,x,,,,,,,,Suspected organism,,Section(Likely Etiology=Infectious),,,CMV – large shallow,HSV – small volcano-like,Candida – pseudomembrane with ulcer,Mixed,,,,,,,,
Esophageal Ulcer,Biopsy,,x,x,,,,,,,,Taken,,,,,Yes,No (Typical Benign),,,,,,,,,,
Esophageal Ulcer,Biopsy,,x,x,,,,,,,,Type,,,x,,Edge biopsy (rule out malignancy),Base biopsy (infection suspicion),Multiple biopsies (edges + base),,,,,,,,,
Esophageal Ulcer,Biopsy,,x,x,,,,,,,,Count,,Subsection(Taken=Yes),,,int_box,,,,,,,,,,,
Esophageal Ulcer,Other Sampling,,x,x,,,,,,,,,,,,,No,Brush cytology / PCR sample taken,,,,,,,,,,
Esophageal Ulcer,Therapeutic Intervention,If active bleeding / high-risk ulcer,x,x,,,,,,,,,,,,,None,Injection therapy,APC / thermal coagulation,Clip placement,Combination therapy,Hemostasis achieved,Hemostasis not achieved → referred,,,,,
Esophageal Ulcer,Therapeutic Intervention,,x,x,,,,,,,,"Adrenaline 1:10,000",,Section(Therapeutic Intervention=Injection therapy),,,int_box ml,,,,,,,,,,,
Esophageal Ulcer,Therapeutic Intervention,,x,x,,,,,,,,Number,,Section(Therapeutic Intervention=Clip placement),,,int_box,,,,,,,,,,,
Esophageal Ulcer,Therapeutic Intervention,,x,x,,,,,,,,Complications Observed,,,x,,None,Bleeding during procedure,Perforation suspected,Chest pain / odynophagia,Stricture on follow-up,,,,,,,
Esophageal Varices,Extent,,x,,,,,,,,,,,,,,Only Esophageal,Esophageal + GOV1,,,,,,,,,,
Esophageal Varices,Variceal Grade,,x,,,,,,,,,,,,,,Grade 0: No varices,Grade 1: Small/straight,"Grade 2: Enlarged/tortuous, occupying <1/3 lumen","Grade 3: Large, occupying >1/3 lumen / touching / confluent",,,,,,,,
Esophageal Varices,Red Signs,,x,,,,,,,,,,,,x,,Red wale marks,Cherry red spots,Hematocystic spots,Diffuse erythema,Nipple,,,,,,,
Esophageal Varices,Post EVL Scarring,,x,,,,,,,,,,,,,,Yes,No,,,,,,,,,,
Esophageal Varices,Bleeding,,x,,,,,,,,,,,,,,Yes,No,,,,,,,,,,
Esophageal Varices,Bleeding,,x,,,,,,,,,Source,,Section(Bleeding=Yes),,,Varices,Post-EVL ulcers,,,,,,,,,,
Esophageal Varices,Bleeding,,x,,,,,,,,,Ulcer Characteristics,,Subsection(Source=Post-EVL ulcers),x,,"Small, shallow",Deep,Cratered,Slough-covered base,Clean base,Granulating base,Multiple contiguous ulcers,,,,,
Esophageal Varices,Bleeding,,x,,,,,,,,,Size,,Subsection(Source=Post-EVL ulcers),,,<5 mm,5-10mm,>10 mm,Circumferential Involvement,,,,,,,,
Esophageal Varices,Bleeding,,x,,,,,,,,,Bleeding / Stigmata,,Subsection(Source=Post-EVL ulcers),,,No bleeding,Oozing,Spurting,Visible vessel,Adherent clot,Pigmented spot,,,,,,
Esophageal Varices,Intervention Performed,,x,,,,,,,,,,,,,,Band Ligation (EVL),Sclerotherapy,No intervention,Not feasible,,,,,,,,
Esophageal Varices,Intervention Performed,,x,,,,,,,,,Number of Bands,,Section(Intervention Performed=Band Ligation (EVL)),,,int_box,,,,,,,,,,,
Esophageal Varices,Intervention Performed,,x,,,,,,,,,Post EVL Complication,,Section(Intervention Performed=Band Ligation (EVL)),,,Bleeding at band site,Mucosal tear at band site,Premature band dislodgement,Aspiration/Regurgidation,,Perforation,,,,,,
Esophageal Varices,Intervention Performed,,x,,,,,,,,,Technique,,Section(Intervention Performed=Sclerotherapy),,,Intravariceal injection,Paravariceal injection,Combined,,,,,,,,,
Esophageal Varices,Intervention Performed,,x,,,,,,,,,Sclerosant Used,,Section(Intervention Performed=Sclerotherapy),,,Ethanolamine oleate,Sodium tetradecyl sulfate (STS),Polidocanol,Other,,,,,,,,
Esophageal Varices,Intervention Performed,,x,,,,,,,,,Volume Injected,,Section(Intervention Performed=Sclerotherapy),,,<5 mL,5–9 mL,10–19 mL,20 mL,int_box mL,,,,,,,
Esophageal Varices,Intervention Performed,,x,,,,,,,,,Number of Injection Sites,,Section(Intervention Performed=Sclerotherapy),,,1,2,3,4,5,Full column treated,,,,,,
Esophageal Varices,Intervention Performed,,x,,,,,,,,,Specify Reason,,Section(Intervention Performed=Not feasible),,,alphanum_box,,,,,,,,,,,
Esophageal Varices,Intervention Performed,,,,,,,,,,,Session Outcome,,,,,Adequate eradication for this session,Partially treated,Varices too small to band,No complications,,,,,,,,
Esophageal Web,Morphology,"Individual Photo - from Tanmay
web_schatzki_table_800x600.png
Esop_web_partial
Esop_web_partial_256x197.jpeg
Esop_webs-A_semilunar or crescent_B_circumferential
Esop_webs-A_semilunar or crescent_B_circumferential_780x332.jpg",x,,,,,,,,,,,,x,,Thin mucosal membrane,Partial semicircular web,Nearly circumferential web,Multiple webs,Short membranous shelf,Shelf-like protrusion with central opening,,,,,,
Esophageal Web,Lumen Characteristics,,x,,,,,,,,,,,,,,Wide opening (>15 mm),Mild narrowing (11–15 mm),Moderate narrowing (9–10 mm),Tight web (5-8 mm),Pin-point opening (<5 mm),,,,,,,
Esophageal Web,Mucosal Features,,x,,,,,,,,,,,,x,,Smooth mucosa,Pale thin membrane,Erythematous rim,Friable edge,Small mucosal tear (post-intervention),Overlying keratinous appearance,,,,,,
Esophageal Web,Associated Findings,,x,,,,,,,,,,,,x,,Proximal esophageal stasis / saliva pooling,Food residue above web,Iron-deficiency anemia,Plummer-Vinson–like features,Coexisting stricture,Hiatal hernia,,,,,,
Esophageal Web,Scope Passage,,x,,,,,,,,,,,,,,Easily passed,Mild resistance,Significant resistance,Unable to pass,Not attempted,,,,,,,
Esophageal Web,Biopsy,,x,,,,,,,,,Taken,,,,,Yes,No,,,,,,,,,,
Esophageal Web,Intervention,,x,,,,,,,,,,,,,,No intervention,Dilated with upper GI scope,Gentle dilation (balloon),Bougie dilation,Web disruption with biopsy forceps,Mucosal incision / division,,,,,,
Esophageal Web,Intervention,,x,,,,,,,,,Post-Intervention Notes,,,x,,Web successfully disrupted,Partially disrupted,Minor mucosal tear,Controlled bleeding,No complications,,,,,,,
Esophagitis,Endoscope insertion depth,,x,,,,,,,,,,,,,,int_box cm from incisors,,,,,,,,,,,
Esophagitis,Type,,x,,,,,,,,,,,,x,,Reflux,Eosinophilic,Candidiasis,Other alphanum_box,,,,,,,,
Esophagitis,Length of Esophagitis Segment,,x,,,,,,,,,,,,,,int_box to int_box cm from incisors,,,,,,,,,,,
Esophagitis,Specific Lesions,,x,,,,,,,,,Type,,,x,,mucosal breaks,erosion,ulcer,ring,furrow,stricture,exudate,bleeding,petechiae,,,
Esophagitis,Specific Lesions,,x,,,,,,,,,Extent / distribution,,,,,Localized,patchy,generalized,,,,,,,,,
Esophagitis,Specific Lesions,,x,,,,,,,,,Size / length,,Subsection(Type=mucosal breaks),,,int_box mm,,,,,,,,,,,
Esophagitis,Grading (Los Angeles),,x,,,,,,,,,,,Section(Type=Reflux),,,A,B,C,D,NA,,,,,,,
Esophagitis,EREFS (Endoscopic Reference Score),,x,,,,,,,,,Edema,,Section(Type=Eosinophilic),,,0,1,2,,,,,,,,,
Esophagitis,EREFS (Endoscopic Reference Score),,x,,,,,,,,,Rings,,Section(Type=Eosinophilic),,,0,1,2,3,,,,,,,,
Esophagitis,EREFS (Endoscopic Reference Score),,x,,,,,,,,,Exudates,,Section(Type=Eosinophilic),,,0,1,2,,,,,,,,,
Esophagitis,EREFS (Endoscopic Reference Score),,x,,,,,,,,,Furrows,,Section(Type=Eosinophilic),,,0,1,2,,,,,,,,,
Esophagitis,EREFS (Endoscopic Reference Score),,x,,,,,,,,,Strictures,,Section(Type=Eosinophilic),,,0,1,,,,,,,,,,
Esophagitis,Kodsi Classification Grade,,x,,,,,,,,,,,Section(Type=Candidiasis),,,I (Few plaques),II (Multiple plaques),III (Confluent/linear),IV (Friable mucosa),,,,,,,,
Esophagitis,Biopsy taken,"4-14-4
Take 4 biopsies 14 cm and 4 cm above the EGJ
Esophagitis_Biopsy_800x500.png",x,,,,,,,,,,,,,,Yes,No,,,,,,,,,,
Esophagitis,Procedure Intervention,,x,,,,,,,,,Type,,,,,clip,injection,Thermal,balloon,bougie,Stent,APC,Other alphanum_box,,,,
Esophagitis,Procedure Intervention,,x,,,,,,,,,Result,,,,,Success,Partial,Failure,,,,,,,,,
Extrinsic Compression,Distance from incisors,,x,,,,,,,,,,,,,,int_box cm,,,,,,,,,,,
Extrinsic Compression,Extrinsic Compression Location,,,,,x,,,,,,D1,,,x,,anterior wall,posterior wall,superior wall,inferior wall,,,,,,,,
Extrinsic Compression,Extrinsic Compression Location,,,,,x,,,,,,D2,,,x,,ampullary region,medial wall,lateral wall,inferior wall,superior wall,,,,,,,
Extrinsic Compression,Extrinsic Compression Location,,,,,x,,,,,,D3,,,,,D3,,,,,,,,,,,
Extrinsic Compression,Nature of Compression,,x,x,x,x,,,,,,,,,x,,Smooth impression,Broad-based indentation,Sharp focal indentation,Pulsatile impression,Fixed compression,Mobile with respiration,Notch-like indentation,Multiple indentations,Luminal distortion,,,
Extrinsic Compression,Severity of Luminal Narrowing,,x,x,,x,,,,,,,,,,,None (indentation only),Mild — lumen distorted but scope passes easily,Moderate — slight resistance,Severe — tight passage,Impassable,,,,,,,
Extrinsic Compression,Suspicion of Underlying Cause,,x,x,x,x,,,,,,,,,x,,Left atrium enlargement,Aortic arch / aberrant vessel,Enlarged mediastinal lymph nodes,Bronchial compression,Left main bronchus impression,Thyroid enlargement,Gallbladder / periportal mass,Liver contour,Splenic mass,Aortic aneurysm,,
Extrinsic Compression,Suspicion of Underlying Cause,,,,,x,,,,,,Duodenum Specific,,,x,,Pancreatic head mass,Renal mass,,,,,,,,,,
Extrinsic Compression,Suspicion of Underlying Cause,,x,x,x,x,,,,,,Other,,,,,Etiology unclear,Other: alphanum_box,,,,,,,,,,
Extrinsic Compression,Mucosal Surface Over Compression,,x,x,x,x,,,,,,,,,x,,Normal mucosa,Erythema,Edema,Erosions,Ulceration,Friability,Nodularity,No mucosal abnormality,,,,
Extrinsic Compression,Biopsy,,x,x,x,x,,,,,,,,,,,Yes,No,,,,,,,,,,
Extrinsic Compression,Referred to,,x,x,x,x,,,,,,,,,x,,EUS,CT/MRI,,,,,,,,,,
Fistula,Opening Appearance,,x,,x,x,,,,,,,,,x,,Small pinpoint,Slit-like,Irregular defect,Ulcer-based,Large cavitary,Multiple openings,,,,,,
Fistula,Surrounding Mucosa,,x,,x,x,,,,,,,,,x,,Inflamed / erythematous,Edematous,Ulcerated,Granulation tissue,Fibrotic rim,Necrotic tissue,Normal mucosa,,,,,
Fistula,Contents / Drainage,,x,,x,x,,,,,,,,,x,,Air bubbling,Saliva / GI contents,Pus / purulent discharge,Bilious fluid,Food particles,Blood / oozing,No visible drainage,,,,,
Fistula,Secondary Signs,,x,,x,x,,,,,,,,,x,,Submucosal tunnel,Cavity seen beyond mucosa,Visible stent (migration),Surgical sutures/staples,Foreign body / drain in view,Severe luminal narrowing,Pooling of secretions,,,,,
Fistula,Size / Extent,,x,,x,x,,,,,,,,,,,<5 mm,5–10 mm,>10 mm,,,,,,,,,
Fistula,Suspected Etiology Pattern,,x,,x,x,,,,,,,,,,,Post-surgical,Post-endoscopic therapy,Malignant infiltration,Chronic ulcer,Radiation injury,Infectious/inflammatory appearance,Traumatic,,,,,
Fistula,Intervention,,x,,x,x,,,,,,,,,,,Clip closure (OTSC / through-the-scope),Stent placement,Glue/sealant therapy,APC/fistula tract ablation,,,,,,,,
Fistula,Intervention,,x,,x,x,,,,,,Post-Procedure Notes,,,,,No complications,Minor bleeding,Leak testing performed (air / dye),Further imaging recommended,,,,,,,,
Foreign Body,Type,,x,x,x,x,,,,,,,,,x,,Food/Meat bolus,Bone (fish/chicken),Tablet / pill / capsule,Denture / dental plate,button battery,Sharp object (needle/pin/toothpick),Coin/Metallic object,Plastic object,Glass object,Unidentified object,Multiple foreign bodies,Other: alphanum_box
Foreign Body,Distance from incisors,,x,,,,,,,,,,,,,,int_box cm,,,,,,,,,,,
Foreign Body,Orientation / Impaction features,,x,x,x,x,,,,,,,,,x,,Lodged / impacted,Partially obstructing,Completely obstructing,Free-floating,Embedded in mucosa,Sharp end pointing proximally,Sharp end pointing distally,Multiple pieces,,,,
Foreign Body,Surrounding Mucosa,,x,x,x,x,,,,,,,,,x,,Normal,Erythema,Edema,Abrasion,Linear scratches,Ulceration,Active bleeding,Perforation suspected,Necrosis,Pressure injury (battery),,
Foreign Body,Associated Findings,,x,x,x,x,,,,,,,,,x,,Saliva pooling,Food residue above obstruction,Distal collapse,Airway compromise risk,Tracheal compression (proximal),,,,,,,
Foreign Body,Removal,,x,x,x,x,,,,,,Method,,,x,,None (passed spontaneously),Grasping forceps,Rat-tooth forceps,Alligator forceps,Tripod / polyp forceps,Roth net,Snare,Cap-assisted removal,Overtube-assisted removal,Magnet retrieval,Push technique (into stomach),
Foreign Body,Removal,,x,x,x,x,,,,,,Outcome,,,x,,Complete removal,Partial removal,Failed removal,Retrieval abandoned for safety,Object pushed into stomach intentionally,Unable to remove — referred to surgery,,,,,,
Foreign Body,Removal,,x,x,x,x,,,,,,Post-removal Inspection,,,x,,Mucosa intact,Small abrasion,Ulceration,Deep mucosal defect,Bleeding,Battery injury zone,Suspected perforation,Residual fragments seen,,,,
Foreign Body,Complications,,x,x,x,x,,,,,,,,,x,,None,Bleeding,Mucosal tear,Perforation suspected,Aspiration event,Hypoxia,Need for airway intervention,,,,,
Foreign Body,Post-procedure Plan,,x,x,x,x,,,,,,,,,x,,Soft diet,Monitor for perforation,Chest X-ray / CT,ENT consult (if proximal injury),Surgery consult,Repeat endoscopy,,,,,,
Gastric Mucosal Atrophy,Kimura–Takemoto Grade,"Gastric_Atrophy_Kimura-Takemoto_850x504.png
Atrophic borders are indicated by a dotted line. 
A: C1 (Limited to the antrum)
B: C2 (Limited to the minor area of the lesser curvature of the body)
C: C3 (In the major area of the lesser curvature of the body but does not extend beyond the cardia)
D: O1 (Extends to the fundus over the cardia. Atrophic border of the body lies between the lesser curvature and anterior wall)
E: O2 (Atrophic border of the body lies on the anterior wall)
F: O3 (Widespread with the border between the anterior wall and greater curvature)",,,x,,,,,,,,,,,,C1,C2,C3,O1,O2,O3,,,,,,
Gastric Mucosal Atrophy,WL Features,,,,x,,,,,,,,,,x,,Pale mucosa,Flattened folds,Transparent mucosa,Prominent submucosal vessels,Patchy “map-like” atrophy,Glossy surface,Scattered erosions,Atrophic islands,,,,
Gastric Mucosal Atrophy,NBI Microvascular Features,"atrophy_nbi_1_800x800.png
atrophy_nbi_2_800x800.png",,,x,,,,,,,,,,x,,Prominent collecting venules,Visible subepithelial capillary network (SECN),Branching/dilated vessels,Sharply defined atrophic border,Increased vascular visibility in body,Reduced brown glandular pattern,,,,,,
Gastric Mucosal Atrophy,NBI Microsurface Features,,,,x,,,,,,,,,,x,,Flattened / irregular pits,Enlarged / widened pit intervals,Loss of pit density,Mottled pale + brown patches,Smooth shiny surface,,,,,,,
Gastric Mucosal Atrophy,Metaplasia Indicators,"Atrophy_Vs_Metaplasia_800x400.png
Gastric_Atrophy_LBC_WOS_800x350.png",,,x,,,,,,,,,,x,,Light Blue Crests (LBC),White Opaque Substance (WOS),Patchy whitish-grey plaques,Map-like metaplastic islands,Tubular / ridge-like surface pattern,Slight mucosal nodularity,Pale elevated patches,,,,,
Gastric Mucosal Atrophy,Distribution Pattern,,,,x,,,,,,,,,,x,,Antral-predominant,Oxyntic-predominant,Multifocal,Borderline / transition-zone visible,,,,,,,,
Gastric Mucosal Atrophy,Biopsy,Gastric_Atrophy_Biopsy_Sydney_Protocol_600x300.png,,,x,,,,,,,,,,x,,Targeted biopsies from atrophic areas,Biopsy as per Sydney protocol,,,,,,,,,,
Gastric Outlet Obstruction,Level of Obstruction,,,,x,x,,,,,,,,,,,Pyloric channel,Pyloric ring,Prepyloric antrum,Duodenal bulb (D1),Duodenum D2,Post-surgical anastomosis (gastrojejunostomy),Unclear / multiple levels,,,,,
Gastric Outlet Obstruction,Severity,,,,x,x,,,,,,,,,,,Partial obstruction (scope passes easily),Significant narrowing (scope passes with difficulty),High-grade stenosis (scope cannot pass),Complete obstruction (no visible lumen),,,,,,,,
Gastric Outlet Obstruction,Endoscopic Appearance of the Obstructed Segment,,,,x,x,,,,,,,,,x,,Concentric narrowing,Irregular narrowing,Tight ring-like stenosis,Long segment narrowing,Mass-like lesion causing narrowing,Edematous swelling,Scarring / fibrosis,Twisted / angulated lumen,,,,
Gastric Outlet Obstruction,Mucosal Features,,,,x,x,,,,,,,,,x,,Erythema,Edema,Ulceration,Healing ulcer scar,Nodularity,Tumor infiltration appearance,Friability,Smooth mucosa,,,,
Gastric Outlet Obstruction,Proximal Findings,,,,x,x,,,,,,,,,x,,Retained food,Fluid stasis,Visible peristalsis struggling against obstruction,Dilated antrum,Dilated D1,Pooling of bile,,,,,,
Gastric Outlet Obstruction,Likely Etiology,,,,x,x,,,,,,,,,,,Peptic ulcer–related scarring,Malignant mass,Edematous acute inflammation,Extrinsic compression,Post-surgical stricture,Pylorospasm / functional narrowing,,,,,,
Gastric Outlet Obstruction,Biopsy,,,,x,x,,,,,,,,,,,Biopsy from suspicious lesion,Biopsy avoided (benign scar appearance),,,,,,,,,,
Gastric Outlet Obstruction,Intervention / Management,,,,x,x,,,,,,,,,,,Balloon dilation (single),Sequential balloon dilation,Temporary stent placement,Restart / reposition scope after suctioning food debris,EUS recommended,,,,,,,
Gastric Outlet Obstruction,Intervention / Management,,,,x,x,,,,,,Immediate Post-Intervention Findings,,,x,,Lumen adequately widened,Partial improvement,No improvement,Mucosal tear,Bleeding,No complications,,,,,,
Gastric Polyp,Number,,,,x,,,,,,,,,,,,Single,Multiple,Count: int_box,,,,,,,,,
Gastric Polyp,Size,,,,x,,,,,,,,,,,,<5 mm,5-10 mm,>10 mm,Measured int_box mm,,,,,,,,
Gastric Polyp,Morphology,,,,x,,,,,,,Type,,,,,Sessile,Semi-pedunculated,Pedunculated,,,,,,,,,
Gastric Polyp,Morphology,,,,x,,,,,,,Stalk Size,,Section(Type=Pedunculated) OR Section(Type=Semi-pedunculated),,,int_box mm,,,,,,,,,,,
Gastric Polyp,Morphology,,,,x,,,,,,,Stalk Width,,Section(Type=Pedunculated) OR Section(Type=Semi-pedunculated),,,int_box mm,,,,,,,,,,,
Gastric Polyp,Morphology,,,,x,,,,,,,Head Size,,Section(Type=Pedunculated) OR Section(Type=Semi-pedunculated),,,int_box mm,,,,,,,,,,,
Gastric Polyp,Morphology,,,,x,,,,,,,Head Width,,Section(Type=Pedunculated) OR Section(Type=Semi-pedunculated),,,int_box mm,,,,,,,,,,,
Gastric Polyp,Morphology,,,,x,,,,,,,Surface,,,,,Smooth,Lobulated,Papillary,Eroded,,,,,,,,
Gastric Polyp,Morphology,,,,x,,,,,,,Color,,,,,Normal mucosa–colored,Pale,Reddish,Hyperemic,,,,,,,,
Gastric Polyp,Morphology,,,,x,,,,,,,Margins,,,,,Well-defined,Ill-defined,,,,,,,,,,
Gastric Polyp,Paris Classification,Gastric-Polyps_Paris-Classification_800x430.jpg,,,x,,,,,,,,,,,,Ip,Isp,Is,0-IIa,0-IIa+c,0-IIa+Is,0-IIb,0-IIc,0-III,,,
Gastric Polyp,Suspicious Features,High-risk,,,x,,,,,,,,,,x,,Irregular surface pattern,Ulcer on top,Spontaneous bleeding,Friability,Depressed areas,Rapid increase in size,,,,,,
Gastric Polyp,Associated Findings,,,,x,,,,,,,,,,x,,Surrounding gastritis,Atrophic mucosa,Intestinal metaplasia,H. pylori–like features,Multiple diffuse polyps (possible syndromic),,,,,,,
Gastric Polyp,Biopsy,,,,x,,,,,,,Taken,,,,,Yes,No,,,,,,,,,,
Gastric Polyp,Biopsy,,,,x,,,,,,,Count,,Subsection(Taken=Yes),,,int_box,,,,,,,,,,,
Gastric Polyp,Intervention,,,,x,,,,,,,Removed by,,,,,Cold biopsy,Cold snare,Hot snare,Not removed,,,,,,,,
Gastric Polyp,Intervention,,,,x,,,,,,,Hemostasis,,,x,,Not needed,Clip,Coagulation,,,,,,,,,
Gastric Polyp,Polyposis Syndrome,,,,x,,,,,,,Diagnosis,,,,,Suspected,Known case,,,,,,,,,,
Gastric Polyp,Polyposis Syndrome,polyposis_table_800x460.png,,,x,,,,,,,Type,,,,,FAP,Juvenile,Peutz-Jeghers,MAP,Cowden (PTEN),Other alphanum_box,,,,,,
Gastric Polyp,Polyposis Syndrome,,,,x,,,,,,,Spigelman score,,Subsection(Type=FAP),,,0,I,II,III,IV,,,,,,,
Gastric Polyp,Polyposis Syndrome,,,,x,,,,,,,Follow-up recommendation,,,,,int_box months,,,,,,,,,,,
Gastric Polyp,Polyposis Syndrome,,,,x,,,,,,,Genetic testing recommendation,,,,,APC,STK11,,,,,,,,,,
Gastric Retention,Content,,,,x,,,,,,,Type,,,,,ClearFluid,Bile,Blood,ParticulateFood,Solid Food,Bezoar,Other,,,,,
Gastric Retention,Content,,,,x,,,,,,,Bezoar Type,,Subsection(Type=Bezoar),,,Phytobezoar,Tricho,Pharma,Other alphanum_box,,,,,,,,
Gastric Retention,Content,,,,x,,,,,,,Bezoar Size,,Subsection(Type=Bezoar),,,int_box mm,,,,,,,,,,,
Gastric Retention,Pyloric Patency,,,,x,,,,,,,,,,,,Open,Narrowed,Occluded,Not visualized,,,,,,,,
Gastric Retention,Scope Traversed Pylorus,,,,x,,,,,,,,,,,,Yes,No,,,,,,,,,,
Gastric Retention,Peristalsis,,,,x,,,,,,,,,,,,Normal,Hypomotile,Akinetic,Hypercontractile,Not Assessed,,,,,,,
Gastric Retention,InRoomActions,,,,x,,,,,,,,,,,,Suction,Lavage,Bezoar removal,Snare removal,,,,,,,,
Gastric Retention,Final Implication,,,,x,,,,,,,,,,,,Likely Gastroparesis,Mechanical GOO,Inadequate preparation,Other alphanum_box,,,,,,,,
Gastric Ulcer,Number,,,,x,,,,,,,,,,,,Single,Count: int_box,,,,,,,,,,
Gastric Ulcer,Size of Largest Ulcer,,,,x,,,,,,,,,,,,< 5 mm,5–10 mm,11–20 mm,> 20 mm (large),Measured: int_box mm,,,,,,,
Gastric Ulcer,Shape / Margins,,,,x,,,,,,,,,,x,,Round / oval,Linear,Geographic / irregular,Smooth flat margins,Raised / rolled margins,Undermined / overhanging edges,Nodular / mass-like edge,,,,,
Gastric Ulcer,Base,,,,x,,,,,,,,,,x,,Clean base,Fibrinous slough,Necrotic base,Granular base,Hematin / old blood,,,,,,,
Gastric Ulcer,Surrounding Mucosa,,,,x,,,,,,,,,,x,,Normal mucosa,Erythematous / inflamed,Atrophic mucosa,Intestinal metaplasia,Nodularity,Multiple erosions,Mass adjacent to ulcer,Edematous / thickened folds,,,,
Gastric Ulcer,Likely Etiology,,,,x,,,,,,,,,,x,,H. pylori related,NSAID / aspirin,Stress ulcer,Malignancy suspected,CMV / HSV,Crohn’s,Radiation,Corrosive,Idiopathic,,,
Gastric Ulcer,Biopsy,,,,x,,,,,,,,,,x,,No biopsy,Edge biopsy,Base biopsy,Rapid urease test,,,,,,,,
Gastric Ulcer,Biopsy,,,,x,,,,,,,Specimen count,,,,,int_box,,,,,,,,,,,
Gastric Ulcer,Forrest Classification,"if active bleed/ history of bleeding
Gastric_Ulcer_forrest_classification_825x600.jpeg",,,x,,,,,,,,,,,,Ia — Spurting,Ib — Oozing,IIa — Visible vessel,IIb — Adherent clot,IIc — Pigmented spot,III — Clean base,,,,,,
Gastric Ulcer,Hemostasis / Therapeutic Interventions,,,,x,,,,,,,,,,x,,Adrenaline injection,APC,Gold probe,hemospray,Hemoclips,OTSC,Combination therapy,Endoscopic suturing,Surgical referral,Other alphanum_box,,
Gastric Ulcer,Hemostasis / Therapeutic Interventions,,,,x,,,,,,,Volume,,Section(Hemostasis / Therapeutic Interventions=Adrenaline injection),,,int_box ml,,,,,,,,,,,
Gastric Ulcer,Hemostasis / Therapeutic Interventions,,,,x,,,,,,,Count,,Section(Hemostasis / Therapeutic Interventions=Hemoclips),,,int_box,,,,,,,,,,,
Gastric Ulcer,Hemostasis / Therapeutic Interventions,,,,x,,,,,,,Outcome,,,,,Complete hemostasis,Partial,Failed,Deferred,,,,,,,,
Gastric Ulcer,Hemostasis / Therapeutic Interventions,,,,x,,,,,,,Complications,,,,,None,Immediate bleeding,Delayed bleeding,Perforation suspected,Large mucosal tear,,,,,,,
Gastric Varices,Classification,,,,x,,,,,,,,,,,,GOV1 (Esophageal varices extending along lesser curvature),GOV2 (Esophageal varices extending into fundus),IGV1 (Isolated fundal varices),IGV2 (Isolated ectopic gastric varices – antrum/body/other),,,,,,,,
Gastric Varices,Morphology,,,,x,,,,,,,,,,x,,Nodular,Tense / Rounded,Flattened,Tortuous,Clustered,Large sac-like varix,Prominent submucosal channels,,,,,
Gastric Varices,Size,,,,x,,,,,,,,,,,,Small,Medium,Large,Giant (>2–3 cm),Multiple large varices,,,,,,,
Gastric Varices,Appearance,,,,x,,,,,,,,,,x,,Red wale marks,Cherry red spots,Hematocystic spots,Diffuse erythema,Surface erosion,Imminent rupture appearance,Nipple sign,,,,,
Gastric Varices,Bleeding Status,,,,x,,,,,,,,,,x,,No active bleeding,Oozing,Spurting arterial-type bleed,Adherent clot,Stigmata of recent bleed,Old blood in stomach,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,,,,,,Glue Injection,Thrombin Injection,Balloon tamponade,Hemospray,None,,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,Agent Used,,Section(Intervention Performed=Glue Injection),,,N-butyl-2-cyanoacrylate,2-octyl-cyanoacrylate,Histoacryl,,,,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,Dilution,,Section(Intervention Performed=Glue Injection),,,Undiluted,1:1 with Lipiodol,Other ratio int_box:int_box,,,,,,,,,
Gastric Varices,Intervention Performed,,,,x,,,,,,,Number of Injection Sites,,Section(Intervention Performed=Glue Injection),,,Single,2,3,,,,,,,,,
